"Affiliation","City","State","Country","Longitude","Latitude","Coded Location","Geocoded","England _ km","England _Emissions","Cape Town _ km","Cape Town _Emissions"
NA,"Berlin",NA,"Germany",13.4015,52.5218,"Berlin, Berlin, Germany","No",2199.39449556468,0.351759520823733,19248.6362597081,2.96149642941467
NA,"Berlin",NA,"Germany",13.4015,52.5218,"Berlin, Berlin, Germany","No",2199.39449556468,0.351759520823733,19248.6362597081,2.96149642941467
NA,"Berlin",NA,"Germany",13.4015,52.5218,"Berlin, Berlin, Germany","No",2199.39449556468,0.351759520823733,19248.6362597081,2.96149642941467
NA,"Berlin",NA,"Germany",13.4015,52.5218,"Berlin, Berlin, Germany","No",2199.39449556468,0.351759520823733,19248.6362597081,2.96149642941467
NA,"Berlin",NA,"Germany",13.4015,52.5218,"Berlin, Berlin, Germany","No",2199.39449556468,0.351759520823733,19248.6362597081,2.96149642941467
NA,"Bremerhaven",NA,"Germany",8.58,53.5504,"Bremerhaven, Bremen, Germany","No",1593.08944602752,0.254790298554473,19545.3011160018,3.00713976231332
NA,"Bremerhaven",NA,"Germany",8.58,53.5504,"Bremerhaven, Bremen, Germany","No",1593.08944602752,0.254790298554473,19545.3011160018,3.00713976231332
NA,"Bremerhaven",NA,"Germany",8.58,53.5504,"Bremerhaven, Bremen, Germany","No",1593.08944602752,0.254790298554473,19545.3011160018,3.00713976231332
NA,"Bremerhaven",NA,"Germany",8.58,53.5504,"Bremerhaven, Bremen, Germany","No",1593.08944602752,0.254790298554473,19545.3011160018,3.00713976231332
NA,"Bremerhaven",NA,"Germany",8.58,53.5504,"Bremerhaven, Bremen, Germany","No",1593.08944602752,0.254790298554473,19545.3011160018,3.00713976231332
NA,"Reykjavik",NA,"Iceland",-21.95,64.15,"Reykjavik, Höfuðborgarsvæði, Iceland","No",3675.0508807071,0.587768196841134,22927.7264382109,3.52754237054651
NA,"Cork",NA,"Ireland",-8.4958,51.8986,"Cork, Cork, Ireland","No",849.121895359149,0.222311244193073,19793.5496036235,3.04533400110404
NA,"Cork",NA,"Ireland",-8.4958,51.8986,"Cork, Cork, Ireland","No",849.121895359149,0.222311244193073,19793.5496036235,3.04533400110404
NA,"Amsterdam",NA,"Netherlands",4.9166,52.35,"Amsterdam, Noord-Holland, Netherlands","No",1052.68695137349,0.168361182288703,19364.8151239514,2.97937111346957
NA,"Amsterdam",NA,"Netherlands",4.9166,52.35,"Amsterdam, Noord-Holland, Netherlands","No",1052.68695137349,0.168361182288703,19364.8151239514,2.97937111346957
NA,"Amsterdam",NA,"Netherlands",4.9166,52.35,"Amsterdam, Noord-Holland, Netherlands","No",1052.68695137349,0.168361182288703,19364.8151239514,2.97937111346957
NA,"Horta",NA,"Portugal",-28.63333,38.53333,"Horta, Portugal","Yes",4944.99476489755,0.790876303675408,18809.2399645262,2.89389316954098
